openalex_topic,n_papers
Hydrology and Watershed Management Studies,551
Flood Risk Assessment and Management,216
Groundwater flow and contamination studies,94
Soil erosion and sediment transport,91
Hydrological Forecasting Using AI,83
Soil and Water Nutrient Dynamics,81
Hydrology and Drought Analysis,56
Peatlands and Wetlands Ecology,52
Water resources management and optimization,42
Groundwater and Isotope Geochemistry,42
Cryospheric studies and observations,38
Climate variability and models,38
Soil and Unsaturated Flow,37
Urban Stormwater Management Solutions,36
Hydrology and Sediment Transport Processes,35
Plant Water Relations and Carbon Dynamics,33
Groundwater and Watershed Analysis,28
Precipitation Measurement and Analysis,21
Climate change and permafrost,19
Soil Moisture and Remote Sensing,18
Meteorological Phenomena and Simulations,16
Environmental and Agricultural Sciences,16
Geophysics and Gravity Measurements,15
Irrigation Practices and Water Management,13
Integrated Water Resources Management,11
Coastal wetland ecosystem dynamics,11
Hydraulic flow and structures,11
Karst Systems and Hydrogeology,10
Reservoir Engineering and Simulation Methods,10
Geophysical and Geoelectrical Methods,8
Water Quality and Resources Studies,8
Fish Ecology and Management Studies,8
Land Use and Ecosystem Services,8
Fire effects on ecosystems,7
Urban Heat Island Mitigation,7
Water Quality and Pollution Assessment,6
Coastal and Marine Dynamics,6
Water Quality Monitoring Technologies,6
Soil Geostatistics and Mapping,6
Geography and Environmental Studies,6
demographic modeling and climate adaptation,6
Climate Change and Environmental Impact,6
Water Resource Management and Quality,5
Landslides and related hazards,5
Geological Modeling and Analysis,5
Military Technology and Strategies,5
Legal and Regulatory Analysis,5
"Linguistic, Cultural, and Literary Studies",5
Water-Energy-Food Nexus Studies,5
Water and Land Management,5
Transboundary Water Resource Management,5
Science and Climate Studies,5
Climate change impacts on agriculture,4
Water Resources and Sustainability,4
Water Systems and Optimization,4
Environmental Policies and Emissions,4
Aquatic Ecosystems and Phytoplankton Dynamics,3
Aquatic and Environmental Studies,3
Hydrocarbon exploration and reservoir analysis,3
Aquatic Ecosystems and Biodiversity,3
Hermeneutics and Narrative Identity,3
"Aging, Elder Care, and Social Issues",3
"Health, Medicine and Society",3
Scientific Research and Discoveries,3
Atmospheric and Environmental Gas Dynamics,3
Tree-ring climate responses,3
Remote Sensing in Agriculture,3
Data Mining and Machine Learning Applications,3
"Hungarian Social, Economic and Educational Studies",3
Heavy metals in environment,3
Earth Systems and Cosmic Evolution,3
Tropical and Extratropical Cyclones Research,3
Geographic Information Systems Studies,3
Environmental Changes in China,2
Mexican Socioeconomic and Environmental Dynamics,2
Geoscience and Mining Technology,2
Hydraulic Fracturing and Reservoir Analysis,2
Ecology and Conservation Studies,2
Pesticide and Herbicide Environmental Studies,2
Solar Radiation and Photovoltaics,2
Marine and coastal ecosystems,2
Rice Cultivation and Yield Improvement,2
Maritime and Coastal Archaeology,2
Environmental Monitoring and Data Management,2
"Energy, Environment, Agriculture Analysis",2
Drilling and Well Engineering,2
Environmental and Social Impact Assessments,2
"Forest, Soil, and Plant Ecology in China",2
Geological formations and processes,2
Tailings Management and Properties,2
